,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
77,2020-07-06,269.0514806251285,170.63651280504817,348.3890911523075,269.0514806251285,269.0514806251285,-5.865511429685496,-5.865511429685496,-5.865511429685496,-5.865511429685496,-5.865511429685496,-5.865511429685496,0.0,0.0,0.0,263.18596919544296
78,2020-07-07,270.9792582805642,181.99818621557836,357.3023667759893,270.9792582805642,270.9792582805642,-2.388675793656171,-2.388675793656171,-2.388675793656171,-2.388675793656171,-2.388675793656171,-2.388675793656171,0.0,0.0,0.0,268.59058248690803
79,2020-07-08,272.90703593599983,188.87965611214761,361.53606167896874,272.90703593599983,272.90703593599983,-3.4960425671400124,-3.4960425671400124,-3.4960425671400124,-3.4960425671400124,-3.4960425671400124,-3.4960425671400124,0.0,0.0,0.0,269.4109933688598
80,2020-07-09,274.8348135914356,184.10999822676303,361.32615206952266,274.8348135914356,274.8348135914356,-3.8448379769119825,-3.8448379769119825,-3.8448379769119825,-3.8448379769119825,-3.8448379769119825,-3.8448379769119825,0.0,0.0,0.0,270.9899756145236
81,2020-07-10,276.77017002698744,185.58217247345348,356.1735957716416,276.77017002698744,276.77017002698744,-7.7605618433034715,-7.7605618433034715,-7.7605618433034715,-7.7605618433034715,-7.7605618433034715,-7.7605618433034715,0.0,0.0,0.0,269.00960818368395
82,2020-07-13,282.5762393336432,191.70425392262186,360.52204217374214,282.5762393336432,282.5762393336432,-5.865511429698422,-5.865511429698422,-5.865511429698422,-5.865511429698422,-5.865511429698422,-5.865511429698422,0.0,0.0,0.0,276.71072790394476
83,2020-07-14,284.51159576919497,197.49246390975267,371.9911199169099,284.51159576919497,284.51159576919497,-2.38867579364838,-2.38867579364838,-2.38867579364838,-2.38867579364838,-2.38867579364838,-2.38867579364838,0.0,0.0,0.0,282.1229199755466
84,2020-07-15,286.44695220474694,198.87935645682234,366.210904598919,286.44695220474694,286.44695220474694,-3.496042567141203,-3.496042567141203,-3.496042567141203,-3.496042567141203,-3.496042567141203,-3.496042567141203,0.0,0.0,0.0,282.9509096376057
85,2020-07-16,288.38230864029873,195.81115074068373,373.8204001863148,288.38230864029873,288.38230864029873,-3.844837976910806,-3.844837976910806,-3.844837976910806,-3.844837976910806,-3.844837976910806,-3.844837976910806,0.0,0.0,0.0,284.5374706633879
86,2020-07-17,290.31766507585064,192.01828390354473,361.733374123805,290.31766507585064,290.31766507585064,-7.760561843357945,-7.760561843357945,-7.760561843357945,-7.760561843357945,-7.760561843357945,-7.760561843357945,0.0,0.0,0.0,282.5571032324927
87,2020-07-20,296.1237343825063,205.6943199620192,380.01513057057656,296.1237343825063,296.1237343825063,-5.865511429691438,-5.865511429691438,-5.865511429691438,-5.865511429691438,-5.865511429691438,-5.865511429691438,0.0,0.0,0.0,290.2582229528149
88,2020-07-21,298.0590908180582,210.4736224055114,383.4932136661447,298.0590908180582,298.0590908180582,-2.3886757936405876,-2.3886757936405876,-2.3886757936405876,-2.3886757936405876,-2.3886757936405876,-2.3886757936405876,0.0,0.0,0.0,295.67041502441765
89,2020-07-22,299.99444781999256,212.01504156009145,385.9146482168907,299.99444781999256,299.99444781999256,-3.4960425671362816,-3.4960425671362816,-3.4960425671362816,-3.4960425671362816,-3.4960425671362816,-3.4960425671362816,0.0,0.0,0.0,296.4984052528563
90,2020-07-23,301.9298048219269,208.81411879541224,380.96523722768154,301.9298048219269,301.9298048219269,-3.844837976927321,-3.844837976927321,-3.844837976927321,-3.844837976927321,-3.844837976927321,-3.844837976927321,0.0,0.0,0.0,298.0849668449996
91,2020-07-24,303.8651618238613,209.8782618749286,381.34989693314196,303.8651618238613,303.8651618238613,-7.760561843344864,-7.760561843344864,-7.760561843344864,-7.760561843344864,-7.760561843344864,-7.760561843344864,0.0,0.0,0.0,296.1045999805164
92,2020-07-27,309.6712328296643,210.34838449956123,381.6995556330394,309.6712328296643,309.6712328296643,-5.865511429724276,-5.865511429724276,-5.865511429724276,-5.865511429724276,-5.865511429724276,-5.865511429724276,0.0,0.0,0.0,303.80572139994
93,2020-07-28,311.6065898315987,217.62675490882964,393.93678386354134,311.6065898315987,311.6065898315987,-2.3886757936726526,-2.3886757936726526,-2.3886757936726526,-2.3886757936726526,-2.3886757936726526,-2.3886757936726526,0.0,0.0,0.0,309.21791403792605
94,2020-07-29,313.541946833533,226.78167263185708,396.00200570386744,313.541946833533,313.541946833533,-3.4960425671392406,-3.4960425671392406,-3.4960425671392406,-3.4960425671392406,-3.4960425671392406,-3.4960425671392406,0.0,0.0,0.0,310.0459042663938
95,2020-07-30,315.47730383546735,228.0217616055658,398.22602340392444,315.47730383546735,315.47730383546735,-3.8448379769261423,-3.8448379769261423,-3.8448379769261423,-3.8448379769261423,-3.8448379769261423,-3.8448379769261423,0.0,0.0,0.0,311.6324658585412
96,2020-07-31,317.4126608374017,222.57589423217956,394.19872285718355,317.4126608374017,317.4126608374017,-7.760561843331783,-7.760561843331783,-7.760561843331783,-7.760561843331783,-7.760561843331783,-7.760561843331783,0.0,0.0,0.0,309.6520989940699
97,2020-08-03,323.2187335210243,237.57013893589263,402.57117345578047,323.2187335210243,323.2187335210243,-5.865511429717291,-5.865511429717291,-5.865511429717291,-5.865511429717291,-5.865511429717291,-5.865511429717291,0.0,0.0,0.0,317.35322209130703
98,2020-08-04,325.1540910822318,233.51259146280245,402.9789545259341,325.1540910822318,325.1540910822318,-2.3886757936648615,-2.3886757936648615,-2.3886757936648615,-2.3886757936648615,-2.3886757936648615,-2.3886757936648615,0.0,0.0,0.0,322.76541528856694
99,2020-08-05,327.0894486434393,240.17730038115295,410.21728117182965,327.0894486434393,327.0894486434393,-3.496042567138665,-3.496042567138665,-3.496042567138665,-3.496042567138665,-3.496042567138665,-3.496042567138665,0.0,0.0,0.0,323.59340607630065
100,2020-08-06,329.02480620464684,238.9717039897361,416.5441157495763,329.02480620464684,329.02480620464684,-3.8448379769338126,-3.8448379769338126,-3.8448379769338126,-3.8448379769338126,-3.8448379769338126,-3.8448379769338126,0.0,0.0,0.0,325.179968227713
101,2020-08-07,330.96016376585436,242.0923675258368,410.66773972802605,330.96016376585436,330.96016376585436,-7.7605618433187,-7.7605618433187,-7.7605618433187,-7.7605618433187,-7.7605618433187,-7.7605618433187,0.0,0.0,0.0,323.19960192253563
102,2020-08-10,336.7662364494769,249.86902925931312,423.10564238517395,336.7662364494769,336.7662364494769,-5.865511429710307,-5.865511429710307,-5.865511429710307,-5.865511429710307,-5.865511429710307,-5.865511429710307,0.0,0.0,0.0,330.9007250197666
103,2020-08-11,338.7015940106844,250.56738050766708,423.059272429666,338.7015940106844,338.7015940106844,-2.388675793657071,-2.388675793657071,-2.388675793657071,-2.388675793657071,-2.388675793657071,-2.388675793657071,0.0,0.0,0.0,336.31291821702735
